sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-1,r0,2,2_08,3,2_09,9,5.0,-4.0,4.0,ahead_main,main,neighbor,neighbor,10,8.0,0.0,2_09_5.0,-2.5,0.75
0116-1,r0,2,2_08,3,2_09,9,5.5,-3.5,3.5,ahead_gap,gap,none,none,3,3.0,0.0,2_09_5.5,-2.5,0.25
0116-1,r0,2,2_08,3,2_09,9,6.0,-3.0,3.0,ahead_main,main,neighbor,neighbor,5,4.5,0.0,2_09_6.0,-2.5,-0.25
0116-1,r0,2,2_08,3,2_09,9,6.5,-2.5,2.5,ahead_gap,gap,referred,referred,2,2.0,0.0,2_09_6.5,-2.5,-0.75
0116-1,r0,2,2_08,3,2_09,9,6.5,-2.5,2.5,ahead_gap,gap,same_seg,neighbor,4,4.0,0.0,2_09_6.5,-2.5,-0.75
0116-1,r0,2,2_08,3,2_09,9,7.0,-2.0,2.0,ahead_main,main,referred,referred,2,2.0,1.0,2_09_7.0,-2.5,-1.25
0116-1,r0,2,2_08,3,2_09,9,7.0,-2.0,2.0,ahead_main,main,same_seg,neighbor,6,6.0,0.0,2_09_7.0,-2.5,-1.25
0116-1,r0,2,2_08,3,2_09,9,7.5,-1.5,1.5,ahead_gap,gap,neighbor,neighbor,3,3.0,0.0,2_09_7.5,-2.5,-1.75
0116-1,r0,2,2_08,3,2_09,9,8.0,-1.0,1.0,target,main,neighbor,neighbor,4,3.5,0.0,2_09_8.0,-2.5,-2.25
0116-1,r0,2,2_08,3,2_09,9,8.5,-0.5,0.5,gap,gap,referred,referred,1,1.0,0.0,2_09_8.5,-2.5,-2.75
0116-1,r0,2,2_10,1,2_11,11,1.0,-10.0,10.0,ahead_main,main,none,none,4,3.5,0.0,2_11_1.0,-4.5,6.75
0116-1,r0,2,2_10,1,2_11,11,1.5,-9.5,9.5,ahead_gap,gap,none,none,6,6.0,0.0,2_11_1.5,-4.5,6.25
0116-1,r0,2,2_10,1,2_11,11,2.0,-9.0,9.0,ahead_main,main,neighbor,neighbor,5,4.5,0.0,2_11_2.0,-4.5,5.75
0116-1,r0,2,2_10,1,2_11,11,2.5,-8.5,8.5,ahead_gap,gap,neighbor,neighbor,2,2.0,0.0,2_11_2.5,-4.5,5.25
0116-1,r0,2,2_10,1,2_11,11,3.0,-8.0,8.0,ahead_main,main,referred,referred,1,1.0,0.0,2_11_3.0,-4.5,4.75
0116-1,r0,2,2_10,1,2_11,11,3.0,-8.0,8.0,ahead_main,main,same_seg,neighbor,3,3.0,0.0,2_11_3.0,-4.5,4.75
